id,treat,age,red
1,mental,young,10
2,mental,young,9
3,mental,young,8
4,mental,mid,7
5,mental,mid,6
6,mental,mid,5
7,mental,old,4
8,mental,old,3
9,mental,old,2
10,physical,young,9
11,physical,young,8
12,physical,young,7
13,physical,mid,6
14,physical,mid,5
15,physical,mid,4
16,physical,old,3
17,physical,old,2
18,physical,old,1
19,medical,young,8
20,medical,young,7
21,medical,young,6
22,medical,mid,5
23,medical,mid,4
24,medical,mid,3
25,medical,old,2
26,medical,old,1
27,medical,old,0